belief_id,cascade_id,vector_name,mean,variance,evidence_count,prior_mean,prior_variance,last_updated
08196213-6481-478d-97d9-f2737c4784da,bb5dabcf-6758-4672-b14e-3f56d966375d,know,0.642857142857143,0.0714285714285714,1,0.5,0.1,"2025-12-30 21:14:45.790376"
3afa0cf1-cca0-4517-9fac-6b51450e6a9b,bb5dabcf-6758-4672-b14e-3f56d966375d,uncertainty,0.357142857142857,0.0714285714285714,1,0.5,0.1,"2025-12-30 21:14:45.790424"
5d3c4dea-9e87-42a8-88c4-e7ea99a580a1,1cd8d4ce-b9ad-4c62-b318-5041b2174e61,know,0.666666666666667,0.0416666666666667,2,0.5,0.1,"2025-12-30 21:14:45.805524"
e2b8669d-d8f2-4d65-92d8-e5ba08f659aa,1cd8d4ce-b9ad-4c62-b318-5041b2174e61,uncertainty,0.333333333333333,0.0416666666666667,2,0.5,0.1,"2025-12-30 21:14:45.805552"
16473244-e059-402e-b8a6-7f762111c695,81a43503-10f7-406b-b40f-dbaff9e156c5,know,0.676470588235294,0.0294117647058824,3,0.5,0.1,"2025-12-30 21:14:45.818099"
eed53b3e-e687-4527-bd34-fe912b9b31db,81a43503-10f7-406b-b40f-dbaff9e156c5,uncertainty,0.323529411764706,0.0294117647058824,3,0.5,0.1,"2025-12-30 21:14:45.818125"
33ae19fd-d779-4a50-9284-5cfa0beff844,80cde288-a778-42cc-9a3f-d137866b4c6c,know,0.681818181818182,0.0227272727272727,4,0.5,0.1,"2025-12-30 21:14:45.830519"
f3f6cc68-75a7-4718-ac7c-cf8e796db3fb,80cde288-a778-42cc-9a3f-d137866b4c6c,uncertainty,0.318181818181818,0.0227272727272727,4,0.5,0.1,"2025-12-30 21:14:45.830545"
ac5a952f-9d14-4482-9a8e-70b33f7d3fc9,c95cd22d-a651-419a-a402-2774bdefb25b,know,0.685185185185185,0.0185185185185185,5,0.5,0.1,"2025-12-30 21:14:45.843124"
9cf02c05-7d62-4de3-b77a-da99f08d68ac,c95cd22d-a651-419a-a402-2774bdefb25b,uncertainty,0.314814814814815,0.0185185185185185,5,0.5,0.1,"2025-12-30 21:14:45.843148"
5797685c-bf54-4b7a-9d42-000ed1ff7d32,2b2b4cd9-5a07-4b19-a1b2-9e15a01df7f3,know,0.678571428571429,0.0714285714285714,1,0.5,0.1,"2025-12-30 21:15:21.634515"
bc7a25c8-113f-4607-aa89-c0c7fc1235a3,2b2b4cd9-5a07-4b19-a1b2-9e15a01df7f3,context,0.642857142857143,0.0714285714285714,1,0.5,0.1,"2025-12-30 21:15:21.634565"
9063d764-4cd6-463b-b09e-3af9a19091b3,2b2b4cd9-5a07-4b19-a1b2-9e15a01df7f3,uncertainty,0.321428571428571,0.0714285714285714,1,0.5,0.1,"2025-12-30 21:15:21.634581"
e711c068-10bd-4873-8279-aebfd53902e0,39ec7502-39f2-414a-9c4e-bff88e377588,engagement,0.821428571428571,0.0714285714285714,1,0.95,0.1,"2025-12-30 21:17:10.727673"
78b05d44-da83-4aab-835e-70494abd6939,39ec7502-39f2-414a-9c4e-bff88e377588,know,0.785714285714286,0.0714285714285714,1,0.7,0.1,"2025-12-30 21:17:10.727731"
b86cb417-9dce-45cf-92a3-8ab10313e8c3,39ec7502-39f2-414a-9c4e-bff88e377588,do,0.75,0.0714285714285714,1,0.75,0.1,"2025-12-30 21:17:10.727752"
caf86a7f-2e0a-4d99-939e-c0afbbfd3540,39ec7502-39f2-414a-9c4e-bff88e377588,context,0.785714285714286,0.0714285714285714,1,0.8,0.1,"2025-12-30 21:17:10.727767"
c85a9da1-6477-4674-8efe-c46bed0a2ad4,39ec7502-39f2-414a-9c4e-bff88e377588,clarity,0.821428571428571,0.0714285714285714,1,0.75,0.1,"2025-12-30 21:17:10.727780"
2da221f2-e45a-4bd4-932e-522a62063ada,39ec7502-39f2-414a-9c4e-bff88e377588,coherence,0.8,0.0714285714285714,1,0.7,0.1,"2025-12-30 21:17:10.727791"
