id,project_id,session_id,goal_id,subtask_id,unknown,is_resolved,resolved_by,created_timestamp,resolved_timestamp,unknown_data,subject,impact,transaction_id
73a93233-0999-455b-83e5-5cd50d4c1e95,3be592bd-651d-47f6-8dcd-eec78df7ebfd,49f4486e-c475-401b-bb09-f6a7c83e034c,,,"How to auto-generate mistake patterns with LLM analysis?",1,"LLM analysis integrated via project-embed semantic patterns",1765308976.38119,1766925693.56421,"{""unknown"": ""How to auto-generate mistake patterns with LLM analysis?"", ""goal_id"": null, ""subtask_id"": null}",,0.5,
bd0bb320-38a0-45f6-ba9d-0f782c5843c2,3be592bd-651d-47f6-8dcd-eec78df7ebfd,49f4486e-c475-401b-bb09-f6a7c83e034c,,,"How to handle information overload in projects with 500+ sessions, 2000+ findings? Need prioritization, recency weighting, relevance filtering, or LLM summarization.",1,"Test resolution for human output format",1765310673.27251,1766925713.33442,"{""unknown"": ""How to handle information overload in projects with 500+ sessions, 2000+ findings? Need prioritization, recency weighting, relevance filtering, or LLM summarization."", ""goal_id"": null, ""subtask_id"": null}",,0.5,
eb341919-ee5d-498e-9dd7-16e8ac8d1020,3be592bd-651d-47f6-8dcd-eec78df7ebfd,49f4486e-c475-401b-bb09-f6a7c83e034c,,,"How to handle stale unknowns (6+ months old, no longer relevant)? Need expiration mechanism or manual review prompts.",0,,1765310673.45117,,"{""unknown"": ""How to handle stale unknowns (6+ months old, no longer relevant)? Need expiration mechanism or manual review prompts."", ""goal_id"": null, ""subtask_id"": null}",,0.5,
1ee9a28a-3879-484e-be1c-9bf77b29d427,3be592bd-651d-47f6-8dcd-eec78df7ebfd,49f4486e-c475-401b-bb09-f6a7c83e034c,,,"How to detect and resolve conflicting findings (Session 5: 'Use X', Session 12: 'Use Y')? Need finding versioning or conflict detection.",0,,1765310673.63302,,"{""unknown"": ""How to detect and resolve conflicting findings (Session 5: 'Use X', Session 12: 'Use Y')? Need finding versioning or conflict detection."", ""goal_id"": null, ""subtask_id"": null}",,0.5,
b465988d-5a97-471a-a265-559a1e5ca5bc,3be592bd-651d-47f6-8dcd-eec78df7ebfd,49f4486e-c475-401b-bb09-f6a7c83e034c,,,"How to ensure finding quality (prevent vague, non-actionable findings)? Need quality scoring, templates, or review process.",0,,1765310673.8142,,"{""unknown"": ""How to ensure finding quality (prevent vague, non-actionable findings)? Need quality scoring, templates, or review process."", ""goal_id"": null, ""subtask_id"": null}",,0.5,
165b198c-ba1f-4732-b9cf-96f013ab5d30,3be592bd-651d-47f6-8dcd-eec78df7ebfd,49f4486e-c475-401b-bb09-f6a7c83e034c,,,"How to handle multi-user coordination (conflicting findings from different developers)? Need real-time sync, conflict resolution, discussion threads.",0,,1765310673.99975,,"{""unknown"": ""How to handle multi-user coordination (conflicting findings from different developers)? Need real-time sync, conflict resolution, discussion threads."", ""goal_id"": null, ""subtask_id"": null}",,0.5,
a476c3c4-a202-4d39-94ae-34ad757a493d,3be592bd-651d-47f6-8dcd-eec78df7ebfd,49f4486e-c475-401b-bb09-f6a7c83e034c,,,"How to handle privacy and security (findings with API keys, credentials)? Need classification, access control, auto-redaction. Critical for commercial use.",0,,1765310674.18288,,"{""unknown"": ""How to handle privacy and security (findings with API keys, credentials)? Need classification, access control, auto-redaction. Critical for commercial use."", ""goal_id"": null, ""subtask_id"": null}",,0.5,
15a19b6e-a001-49f2-858d-ee06fabccd60,3be592bd-651d-47f6-8dcd-eec78df7ebfd,49f4486e-c475-401b-bb09-f6a7c83e034c,,,"How to enable cross-project learning (Project A solves Y, Project B has same problem Y)? Need cross-project search, pattern library, recommendation system.",0,,1765310674.3601,,"{""unknown"": ""How to enable cross-project learning (Project A solves Y, Project B has same problem Y)? Need cross-project search, pattern library, recommendation system."", ""goal_id"": null, ""subtask_id"": null}",,0.5,
b1e2ea2c-cf4a-4bf3-a866-bc2b8ecd114a,3be592bd-651d-47f6-8dcd-eec78df7ebfd,3978cc40-f6c3-44de-98c0-da9b8ce482a5,,,"How to optimize MCP cost for programmatic CLI calls vs direct Python?",0,,1765314479.30481,,"{""unknown"": ""How to optimize MCP cost for programmatic CLI calls vs direct Python?"", ""goal_id"": null, ""subtask_id"": null}",,0.5,
323593d8-8c77-4dfe-8665-f07e5898ed6f,3be592bd-651d-47f6-8dcd-eec78df7ebfd,5720c635-5189-4625-82be-9762c6d470ee,,,"Phase 2: How to implement Qdrant embeddings for semantic search across docs, findings, unknowns, mistakes?",1,"Qdrant semantic search fully implemented. Collections: project_{id}_memory (findings/unknowns/dead_ends), project_{id}_docs, project_{id}_epistemics, global_learnings, personas. All migrated to 768-dim Ollama vectors.",1765371540.58918,1767372594.02563,"{""unknown"": ""Phase 2: How to implement Qdrant embeddings for semantic search across docs, findings, unknowns, mistakes?"", ""goal_id"": null, ""subtask_id"": null}",,0.5,
f92e9f0d-cd98-4ea4-9f67-e0a2143c7e41,3be592bd-651d-47f6-8dcd-eec78df7ebfd,5720c635-5189-4625-82be-9762c6d470ee,,,"Phase 3: How to implement uncertainty-driven bootstrap that loads context depth based on UNCERTAINTY vector (high uncertainty → more docs, low uncertainty → fewer docs)?",0,,1765371540.78167,,"{""unknown"": ""Phase 3: How to implement uncertainty-driven bootstrap that loads context depth based on UNCERTAINTY vector (high uncertainty \u2192 more docs, low uncertainty \u2192 fewer docs)?"", ""goal_id"": null, ""subtask_id"": null}",,0.5,
